id,text
1022454428_b6b660a67b,A man and woman care for an infant along the side of a body of water .
103195344_5d2dc613a3,A man sitting in front of a metal sculpture in front of a building .
1055753357_4fa3d8d693,Two construction workers take a seat on a steel beam .
1124448967_2221af8dc5,Man relaxing in a folding chair on the street .
1131804997_177c3c0640,Two men with backpacks are sitting on cardboard along a railing .
1138784872_69ade3f2ab,A young boy is walking in front of some stores
1142847777_2a0c1c2551,A woman is riding her bicycle in traffic
1143373711_2e90b7b799,A man in blue and white biking gear rides down a busy street .
1143882946_1898d2eeb9,A woman with a helmet and a backpack walks next to her bike .
1144288288_e5c9558b6a,A woman walks on a street wearing headphones .
1148238960_f8cacec2fc,People waiting at a light on bikes .
1149179852_acad4d7300,Shirtless man leading a small horse-drawn covered wagon down a road
1167908324_8caab45e15,A man stands next to three video game machines and a beer sign .
119534510_d52b3781a3,A person in a brown jacket is sitting on a pier by the water reading .
1321723162_9d4c78b8af,Two girls are ice skating with each other .
1321949151_77b77b4617,Two children lie on puffy benches at a museum while four adults look on .
1329832826_432538d331,Some people look to cross the street in front of a drug store .
1332208215_fa824f6659,Several people sit on a train .
1332492622_8c66992b62,People stand on a colorful balcony .
1342766791_1e72f92455,one small boy climbing a pole with the help of another boy on the ground
1342780478_bacc32344d,A well-dressed man in the street .
1346051107_9cdc14e070,Man playing musical instrument standing beside a yellow and red fire hydrant
1355945307_f9e01a9a05,The man is driving a small red race car around a track .
1387443857_602ab6f9bf,There are a couple of old men sitting on a concrete bench outside .
1424775129_ffea9c13ab,The little boy walks along the railroad tracks with his stick .
1426014905_da60d72957,A man stands at the end of a pier reading a book against a blue sky .
1427391496_ea512cbe7f,A young child stands on a wood dock next to the water .
1461653394_8ab96aae63,A white dog snarls at a black dog in front of a set of steps .
1461667284_041c8a2475,A man plays guitar on a stage while another woman smiles
1463638541_c02cfa04dc,A person is climbing and has nearly reached the sign at the top
1467533293_a2656cc000,Two little girls in pink are in a playground .
1468389504_c724bdcad0,Two young girls on a playground .
1805990081_da9cefe3a5,A dark skinned boy is walking a white dog on a pink leash down a sidewalk .
191003283_992257f835,A young boy wearing a red shirt stands in the street with his arms open wide .
191003284_1025b0fb7d,A man is helping a girl sit on a large bicycle .
191003285_edd8d0cf58,A man wearing a black shirt and a girl wearing an orange shirt sitting on the pavement eating .
1936215201_d03a75cbba,A male child holding a ball standing on the sidewalk .
1984936420_3f3102132b,The girl in pink is watching the boy catch a fish from the river .
1991806812_065f747689,Two boxers are in the ring .
2056930414_d2b0f1395a,A little boy with toy microphone and guitar pretends to play music .
2073174497_18b779999c,A man riding a bike near traffic .
2073964624_52da3a0fc4,a woman with glasses and a pink hat rides her bike .
2088460083_42ee8a595a,"An old , beat-up jeep being towed away ."
2094323311_27d58b1513,A large brown dog with a blue collar is resting his chin on a man 's face .
211295363_49010ca38d,"Small yachts in harbor , city in background ."
2180356743_b3a3c9a7f6,"A boy watches his classmates play in a courtyard , looking from above ."
236474697_0c73dd5d8b,several young people posing for this photo holding beers
241345323_f53eb5eec4,Football players playing a football game .
241345427_ece0d186c2,"A football player wears a jersey wuth the number "" 4 "" on it ."
241345446_2e47ae8ddc,a man wearing a white shirt is carrying a headset communications device along the touchline in a sports stadium .
241345522_c3c266a02a,A UW football player runs with the ball .
241345533_99c731403a,A football coach watches a play being made .
241345596_91e0e2daf5,Two football players talk during a game .
241345639_1556a883b1,Three football players in purple uniforms try to tackle a player in a red uniform .
241345656_861aacefde,A woman in a red sports outfit is running on the grass in front of a crowd of spectators .
241345721_3f3724a7fc,The American footballer wearing red is pushing the player in white to the ground .
241345770_9f8aa6723c,A quarterback scans the football field while the offensive line protects him .
241345811_46b5f157d4,"Coach talks with football player , other players and crowd in background ."
241345844_69e1c22464,The coaching official and football player are talking in front a crowd and other team members .
241345864_138471c9ea,The cheerleader in red and white is sitting on the knee of a man also wearing red and white .
241345905_5826a72da1,two men examine a football players leg .
241345942_ea76966542,The football player in red keeps the football away from the player in purple and white .
241345981_1ef4f8109c,two American footballers in red are confronted by an opposition player in purple and white whilst being watched by spectators in a stadium .
241346105_c1c860db0d,The football player is running with a football trying to score .
241346146_f27759296d,The football player is running with the ball as a player of the opposing team grabs his leg
241346215_037e18403a,A team mascot raising its hands toward people .
241346260_f50d57b517,Three football players are running on the field while a large crowd is watching
241346317_be3f07bd2e,An Oklahoma football player is about to score .
244867897_d00369a779,two golden dogs are chewing a white cushion on a wooden patio .
247619370_a01fb21dd3,The woman in the brown shirt is sitting on a bright red bench .
27782020_4dab210360,People on the city street walk past a puppet theater .
297285273_688e44c014,Three children exploring the rocky shoreline near a riverboat .
307994435_592f933a6d,Asian man giving thumbs up on street .
309238565_2d5d8dc8bf,"Three people stand near a couple of machines , one labeled Sharp ."
309771854_952aabe3cc,Two priests stand on some stairs in front of a building .
310213587_778fe8fb5b,A man in black clothes and a blue hat is taking a drink and holding a shopping bag .
310260324_7f941814bc,Men with orange wristbands perform a dance .
310728631_155c3bbeea,A group of birds fly up from the street against a painted wall .
317641829_ab2607a6c0,A man wearing a red coat stands on the corner near a building .
325576658_59f68bdbd6,A person with a blue blanket on his head sits on a metal bench in an urban neighborhood .
380590140_25b9889772,"Street with traffic with one person in crosswalk , two others at corner and one person sitting on ground ."
381514859_b40418d9c3,Two West Highland Terriers chase a red ball .
394463341_5311c53783,Dog on a red leash with a woman .
42637986_135a9786a6,Two people sit on the pier together and look out at the ocean .
42637987_866635edf6,People sit on a park bench while others jog on a path .
44129946_9eeb385d77,Two people sit on a bench and watch a boat on the water .
