id,text
wild_0,A man and woman care for an infant along the side of a body of water .
wild_1,A man sitting in front of a metal sculpture in front of a building .
wild_2,Two construction workers take a seat on a steel beam .
wild_3,Man relaxing in a folding chair on the street .
wild_4,Two men with backpacks are sitting on cardboard along a railing .
city_0,A young boy is walking in front of some stores
city_1,A woman is riding her bicycle in traffic
city_2,A man in blue and white biking gear rides down a busy street .
city_3,A woman with a helmet and a backpack walks next to her bike .
city_4,A woman walks on a street wearing headphones .
